true,ft,image_path
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011501071328220065_20251108_052326.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250502_115657.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001313670338_20250923_103914.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250802_052301.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314235556_20250707_141623.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250527_181959.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319850899_20251011_083521.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317193402_20250628_114957.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250812_122809.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314706001_20250627_175725.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250521_173414.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011501071328440035_20250709_220912.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319850899_20251012_113425.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312588152_20250828_144030.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011201071328010029_20260228_083443.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314706001_20250629_054322.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001315288646_20250707_200332.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250628_204712.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001313113338_20250627_205009.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001316185552_20250628_090701.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001317269238_20260223_102624.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011101071328110008_20251013_091433.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250629_002346.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317193402_20250630_092507.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328030086_20250702_075957.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001312446525_20250626_190335.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250628_015025.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250701_194141.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319753987_20250629_101631.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001312966376_20251013_072602.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/baitan/camera_11000000001313703362_20251001_112333.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001317851594_20251013_121531.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250817_154040.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011201071328120048_20260213_085922.jpg
